map_id,hsa_id,Term_base,Term_clean,kegg_category,kegg_subcategory
map00620,hsa00620,Pyruvate metabolism,Pyruvate metabolism,Metabolism,Carbohydrate metabolism
map00630,hsa00630,Glyoxylate and dicarboxylate metabolism,Glyoxylate and dicarboxylate metabolism,Metabolism,Carbohydrate metabolism
map00640,hsa00640,Propanoate metabolism,Propanoate metabolism,Metabolism,Carbohydrate metabolism
map00650,hsa00650,Butanoate metabolism,Butanoate metabolism,Metabolism,Carbohydrate metabolism
map00660,hsa00660,C5-Branched dibasic acid metabolism,C5-Branched dibasic acid metabolism,Metabolism,Carbohydrate metabolism
map00562,hsa00562,Inositol phosphate metabolism,Inositol phosphate metabolism,Metabolism,Carbohydrate metabolism
map00566,hsa00566,Sulfoquinovose metabolism,Sulfoquinovose metabolism,Metabolism,Carbohydrate metabolism
map00190,hsa00190,Oxidative phosphorylation,Oxidative phosphorylation,Metabolism,Energy metabolism
map00195,hsa00195,Photosynthesis,Photosynthesis,Metabolism,Energy metabolism
map00196,hsa00196,Photosynthesis - antenna proteins,Photosynthesis - antenna proteins,Metabolism,Energy metabolism
map00710,hsa00710,Carbon fixation by Calvin cycle,Carbon fixation by Calvin cycle,Metabolism,Energy metabolism
map00720,hsa00720,Other carbon fixation pathways,Other carbon fixation pathways,Metabolism,Energy metabolism
map00680,hsa00680,Methane metabolism,Methane metabolism,Metabolism,Energy metabolism
map00910,hsa00910,Nitrogen metabolism,Nitrogen metabolism,Metabolism,Energy metabolism
map00920,hsa00920,Sulfur metabolism,Sulfur metabolism,Metabolism,Energy metabolism
map00061,hsa00061,Fatty acid biosynthesis,Fatty acid biosynthesis,Metabolism,Lipid metabolism
map00062,hsa00062,Fatty acid elongation,Fatty acid elongation,Metabolism,Lipid metabolism
map00071,hsa00071,Fatty acid degradation,Fatty acid degradation,Metabolism,Lipid metabolism
map00073,hsa00073,"Cutin, suberine and wax biosynthesis","Cutin, suberine and wax biosynthesis",Metabolism,Lipid metabolism
map00074,hsa00074,Mycolic acid biosynthesis,Mycolic acid biosynthesis,Metabolism,Lipid metabolism
map00100,hsa00100,Steroid biosynthesis,Steroid biosynthesis,Metabolism,Lipid metabolism
map00120,hsa00120,Primary bile acid biosynthesis,Primary bile acid biosynthesis,Metabolism,Lipid metabolism
map00121,hsa00121,Secondary bile acid biosynthesis,Secondary bile acid biosynthesis,Metabolism,Lipid metabolism
map00140,hsa00140,Steroid hormone biosynthesis,Steroid hormone biosynthesis,Metabolism,Lipid metabolism
map00561,hsa00561,Glycerolipid metabolism,Glycerolipid metabolism,Metabolism,Lipid metabolism
map00564,hsa00564,Glycerophospholipid metabolism,Glycerophospholipid metabolism,Metabolism,Lipid metabolism
map00565,hsa00565,Ether lipid metabolism,Ether lipid metabolism,Metabolism,Lipid metabolism
map00600,hsa00600,Sphingolipid metabolism,Sphingolipid metabolism,Metabolism,Lipid metabolism
map00590,hsa00590,Arachidonic acid metabolism,Arachidonic acid metabolism,Metabolism,Lipid metabolism
map00591,hsa00591,Linoleic acid metabolism,Linoleic acid metabolism,Metabolism,Lipid metabolism
map00592,hsa00592,alpha-Linolenic acid metabolism,alpha-Linolenic acid metabolism,Metabolism,Lipid metabolism
map01040,hsa01040,Biosynthesis of unsaturated fatty acids,Biosynthesis of unsaturated fatty acids,Metabolism,Lipid metabolism
map00230,hsa00230,Purine metabolism,Purine metabolism,Metabolism,Nucleotide metabolism
map00240,hsa00240,Pyrimidine metabolism,Pyrimidine metabolism,Metabolism,Nucleotide metabolism
map00250,hsa00250,"Alanine, aspartate and glutamate metabolism","Alanine, aspartate and glutamate metabolism",Metabolism,Amino acid metabolism
map00260,hsa00260,"Glycine, serine and threonine metabolism","Glycine, serine and threonine metabolism",Metabolism,Amino acid metabolism
map00270,hsa00270,Cysteine and methionine metabolism,Cysteine and methionine metabolism,Metabolism,Amino acid metabolism
map00280,hsa00280,"Valine, leucine and isoleucine degradation","Valine, leucine and isoleucine degradation",Metabolism,Amino acid metabolism
map00290,hsa00290,"Valine, leucine and isoleucine biosynthesis","Valine, leucine and isoleucine biosynthesis",Metabolism,Amino acid metabolism
map00300,hsa00300,Lysine biosynthesis,Lysine biosynthesis,Metabolism,Amino acid metabolism
map00310,hsa00310,Lysine degradation,Lysine degradation,Metabolism,Amino acid metabolism
map00220,hsa00220,Arginine biosynthesis,Arginine biosynthesis,Metabolism,Amino acid metabolism
map00330,hsa00330,Arginine and proline metabolism,Arginine and proline metabolism,Metabolism,Amino acid metabolism
map00340,hsa00340,Histidine metabolism,Histidine metabolism,Metabolism,Amino acid metabolism
map00350,hsa00350,Tyrosine metabolism,Tyrosine metabolism,Metabolism,Amino acid metabolism
map00360,hsa00360,Phenylalanine metabolism,Phenylalanine metabolism,Metabolism,Amino acid metabolism
map00380,hsa00380,Tryptophan metabolism,Tryptophan metabolism,Metabolism,Amino acid metabolism
map00400,hsa00400,"Phenylalanine, tyrosine and tryptophan biosynthesis","Phenylalanine, tyrosine and tryptophan biosynthesis",Metabolism,Amino acid metabolism
map00410,hsa00410,beta-Alanine metabolism,beta-Alanine metabolism,Metabolism,Metabolism of other amino acids
map00430,hsa00430,Taurine and hypotaurine metabolism,Taurine and hypotaurine metabolism,Metabolism,Metabolism of other amino acids
map00440,hsa00440,Phosphonate and phosphinate metabolism,Phosphonate and phosphinate metabolism,Metabolism,Metabolism of other amino acids
map00450,hsa00450,Selenocompound metabolism,Selenocompound metabolism,Metabolism,Metabolism of other amino acids
map00460,hsa00460,Cyanoamino acid metabolism,Cyanoamino acid metabolism,Metabolism,Metabolism of other amino acids
map00470,hsa00470,D-Amino acid metabolism,D-Amino acid metabolism,Metabolism,Metabolism of other amino acids
map00480,hsa00480,Glutathione metabolism,Glutathione metabolism,Metabolism,Metabolism of other amino acids
map00520,hsa00520,Amino sugar and nucleotide sugar metabolism,Amino sugar and nucleotide sugar metabolism,Metabolism,Glycan biosynthesis and metabolism
map00541,hsa00541,Biosynthesis of various nucleotide sugars,Biosynthesis of various nucleotide sugars,Metabolism,Glycan biosynthesis and metabolism
map00510,hsa00510,N-Glycan biosynthesis,N-Glycan biosynthesis,Metabolism,Glycan biosynthesis and metabolism
map00513,hsa00513,Various types of N-glycan biosynthesis,Various types of N-glycan biosynthesis,Metabolism,Glycan biosynthesis and metabolism
map00512,hsa00512,Mucin type O-glycan biosynthesis,Mucin type O-glycan biosynthesis,Metabolism,Glycan biosynthesis and metabolism
map00515,hsa00515,Mannose type O-glycan biosynthesis,Mannose type O-glycan biosynthesis,Metabolism,Glycan biosynthesis and metabolism
map00514,hsa00514,Other types of O-glycan biosynthesis,Other types of O-glycan biosynthesis,Metabolism,Glycan biosynthesis and metabolism
map00532,hsa00532,Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate,Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate,Metabolism,Glycan biosynthesis and metabolism
map00534,hsa00534,Glycosaminoglycan biosynthesis - heparan sulfate / heparin,Glycosaminoglycan biosynthesis - heparan sulfate / heparin,Metabolism,Glycan biosynthesis and metabolism
map00533,hsa00533,Glycosaminoglycan biosynthesis - keratan sulfate,Glycosaminoglycan biosynthesis - keratan sulfate,Metabolism,Glycan biosynthesis and metabolism
map00531,hsa00531,Glycosaminoglycan degradation,Glycosaminoglycan degradation,Metabolism,Glycan biosynthesis and metabolism
map00563,hsa00563,Glycosylphosphatidylinositol (GPI)-anchor biosynthesis,Glycosylphosphatidylinositol (GPI)-anchor biosynthesis,Metabolism,Glycan biosynthesis and metabolism
map00601,hsa00601,Glycosphingolipid biosynthesis - lacto and neolacto series,Glycosphingolipid biosynthesis - lacto and neolacto series,Metabolism,Glycan biosynthesis and metabolism
map00603,hsa00603,Glycosphingolipid biosynthesis - globo and isoglobo series,Glycosphingolipid biosynthesis - globo and isoglobo series,Metabolism,Glycan biosynthesis and metabolism
map00604,hsa00604,Glycosphingolipid biosynthesis - ganglio series,Glycosphingolipid biosynthesis - ganglio series,Metabolism,Glycan biosynthesis and metabolism
map00511,hsa00511,Other glycan degradation,Other glycan degradation,Metabolism,Glycan biosynthesis and metabolism
map00540,hsa00540,Lipopolysaccharide biosynthesis,Lipopolysaccharide biosynthesis,Metabolism,Glycan biosynthesis and metabolism
map00542,hsa00542,O-Antigen repeat unit biosynthesis,O-Antigen repeat unit biosynthesis,Metabolism,Glycan biosynthesis and metabolism
map00550,hsa00550,Peptidoglycan biosynthesis,Peptidoglycan biosynthesis,Metabolism,Glycan biosynthesis and metabolism
map00552,hsa00552,Teichoic acid biosynthesis,Teichoic acid biosynthesis,Metabolism,Glycan biosynthesis and metabolism
map00571,hsa00571,Lipoarabinomannan (LAM) biosynthesis,Lipoarabinomannan (LAM) biosynthesis,Metabolism,Glycan biosynthesis and metabolism
map00572,hsa00572,Arabinogalactan biosynthesis - Mycobacterium,Arabinogalactan biosynthesis - Mycobacterium,Metabolism,Glycan biosynthesis and metabolism
map00543,hsa00543,Exopolysaccharide biosynthesis,Exopolysaccharide biosynthesis,Metabolism,Glycan biosynthesis and metabolism
map00730,hsa00730,Thiamine metabolism,Thiamine metabolism,Metabolism,Metabolism of cofactors and vitamins
map00740,hsa00740,Riboflavin metabolism,Riboflavin metabolism,Metabolism,Metabolism of cofactors and vitamins
map00750,hsa00750,Vitamin B6 metabolism,Vitamin B6 metabolism,Metabolism,Metabolism of cofactors and vitamins
map00760,hsa00760,Nicotinate and nicotinamide metabolism,Nicotinate and nicotinamide metabolism,Metabolism,Metabolism of cofactors and vitamins
map00770,hsa00770,Pantothenate and CoA biosynthesis,Pantothenate and CoA biosynthesis,Metabolism,Metabolism of cofactors and vitamins
map00780,hsa00780,Biotin metabolism,Biotin metabolism,Metabolism,Metabolism of cofactors and vitamins
map00785,hsa00785,Lipoic acid metabolism,Lipoic acid metabolism,Metabolism,Metabolism of cofactors and vitamins
map00790,hsa00790,Folate biosynthesis,Folate biosynthesis,Metabolism,Metabolism of cofactors and vitamins
map00670,hsa00670,One carbon pool by folate,One carbon pool by folate,Metabolism,Metabolism of cofactors and vitamins
map00830,hsa00830,Retinol metabolism,Retinol metabolism,Metabolism,Metabolism of cofactors and vitamins
map00860,hsa00860,Porphyrin metabolism,Porphyrin metabolism,Metabolism,Metabolism of cofactors and vitamins
map00130,hsa00130,Ubiquinone and other terpenoid-quinone biosynthesis,Ubiquinone and other terpenoid-quinone biosynthesis,Metabolism,Metabolism of cofactors and vitamins
map00900,hsa00900,Terpenoid backbone biosynthesis,Terpenoid backbone biosynthesis,Metabolism,Metabolism of terpenoids and polyketides
map00902,hsa00902,Monoterpenoid biosynthesis,Monoterpenoid biosynthesis,Metabolism,Metabolism of terpenoids and polyketides
map00909,hsa00909,Sesquiterpenoid and triterpenoid biosynthesis,Sesquiterpenoid and triterpenoid biosynthesis,Metabolism,Metabolism of terpenoids and polyketides
map00904,hsa00904,Diterpenoid biosynthesis,Diterpenoid biosynthesis,Metabolism,Metabolism of terpenoids and polyketides
map00906,hsa00906,Carotenoid biosynthesis,Carotenoid biosynthesis,Metabolism,Metabolism of terpenoids and polyketides
map00905,hsa00905,Brassinosteroid biosynthesis,Brassinosteroid biosynthesis,Metabolism,Metabolism of terpenoids and polyketides
map00981,hsa00981,Insect hormone biosynthesis,Insect hormone biosynthesis,Metabolism,Metabolism of terpenoids and polyketides
map00908,hsa00908,Zeatin biosynthesis,Zeatin biosynthesis,Metabolism,Metabolism of terpenoids and polyketides
map00903,hsa00903,Limonene degradation,Limonene degradation,Metabolism,Metabolism of terpenoids and polyketides
map00907,hsa00907,"Pinene, camphor and geraniol degradation","Pinene, camphor and geraniol degradation",Metabolism,Metabolism of terpenoids and polyketides
map01052,hsa01052,Type I polyketide structures,Type I polyketide structures,Metabolism,Metabolism of terpenoids and polyketides
map00522,hsa00522,"Biosynthesis of 12-, 14- and 16-membered macrolides","Biosynthesis of 12-, 14- and 16-membered macrolides",Metabolism,Metabolism of terpenoids and polyketides
map01051,hsa01051,Biosynthesis of ansamycins,Biosynthesis of ansamycins,Metabolism,Metabolism of terpenoids and polyketides
map01059,hsa01059,Biosynthesis of enediyne antibiotics,Biosynthesis of enediyne antibiotics,Metabolism,Metabolism of terpenoids and polyketides
map01056,hsa01056,Biosynthesis of type II polyketide backbone,Biosynthesis of type II polyketide backbone,Metabolism,Metabolism of terpenoids and polyketides
map01057,hsa01057,Biosynthesis of type II polyketide products,Biosynthesis of type II polyketide products,Metabolism,Metabolism of terpenoids and polyketides
map00253,hsa00253,Tetracycline biosynthesis,Tetracycline biosynthesis,Metabolism,Metabolism of terpenoids and polyketides
map00523,hsa00523,Polyketide sugar unit biosynthesis,Polyketide sugar unit biosynthesis,Metabolism,Metabolism of terpenoids and polyketides
map01054,hsa01054,Nonribosomal peptide structures,Nonribosomal peptide structures,Metabolism,Metabolism of terpenoids and polyketides
map01053,hsa01053,Biosynthesis of siderophore group nonribosomal peptides,Biosynthesis of siderophore group nonribosomal peptides,Metabolism,Metabolism of terpenoids and polyketides
map01055,hsa01055,Biosynthesis of vancomycin group antibiotics,Biosynthesis of vancomycin group antibiotics,Metabolism,Metabolism of terpenoids and polyketides
map00940,hsa00940,Phenylpropanoid biosynthesis,Phenylpropanoid biosynthesis,Metabolism,Biosynthesis of other secondary metabolites
map00945,hsa00945,"Stilbenoid, diarylheptanoid and gingerol biosynthesis","Stilbenoid, diarylheptanoid and gingerol biosynthesis",Metabolism,Biosynthesis of other secondary metabolites
map00941,hsa00941,Flavonoid biosynthesis,Flavonoid biosynthesis,Metabolism,Biosynthesis of other secondary metabolites
map00944,hsa00944,Flavone and flavonol biosynthesis,Flavone and flavonol biosynthesis,Metabolism,Biosynthesis of other secondary metabolites
map00942,hsa00942,Anthocyanin biosynthesis,Anthocyanin biosynthesis,Metabolism,Biosynthesis of other secondary metabolites
map00943,hsa00943,Isoflavonoid biosynthesis,Isoflavonoid biosynthesis,Metabolism,Biosynthesis of other secondary metabolites
map00946,hsa00946,Degradation of flavonoids,Degradation of flavonoids,Metabolism,Biosynthesis of other secondary metabolites
map00901,hsa00901,Indole alkaloid biosynthesis,Indole alkaloid biosynthesis,Metabolism,Biosynthesis of other secondary metabolites
map00403,hsa00403,Indole diterpene alkaloid biosynthesis,Indole diterpene alkaloid biosynthesis,Metabolism,Biosynthesis of other secondary metabolites
map00950,hsa00950,Isoquinoline alkaloid biosynthesis,Isoquinoline alkaloid biosynthesis,Metabolism,Biosynthesis of other secondary metabolites
map00960,hsa00960,"Tropane, piperidine and pyridine alkaloid biosynthesis","Tropane, piperidine and pyridine alkaloid biosynthesis",Metabolism,Biosynthesis of other secondary metabolites
map00996,hsa00996,Biosynthesis of various alkaloids,Biosynthesis of various alkaloids,Metabolism,Biosynthesis of other secondary metabolites
map00232,hsa00232,Caffeine metabolism,Caffeine metabolism,Metabolism,Biosynthesis of other secondary metabolites
map00965,hsa00965,Betalain biosynthesis,Betalain biosynthesis,Metabolism,Biosynthesis of other secondary metabolites
map00966,hsa00966,Glucosinolate biosynthesis,Glucosinolate biosynthesis,Metabolism,Biosynthesis of other secondary metabolites
map00402,hsa00402,Benzoxazinoid biosynthesis,Benzoxazinoid biosynthesis,Metabolism,Biosynthesis of other secondary metabolites
map00311,hsa00311,Penicillin and cephalosporin biosynthesis,Penicillin and cephalosporin biosynthesis,Metabolism,Biosynthesis of other secondary metabolites
map00332,hsa00332,Carbapenem biosynthesis,Carbapenem biosynthesis,Metabolism,Biosynthesis of other secondary metabolites
map00261,hsa00261,Monobactam biosynthesis,Monobactam biosynthesis,Metabolism,Biosynthesis of other secondary metabolites
map00331,hsa00331,Clavulanic acid biosynthesis,Clavulanic acid biosynthesis,Metabolism,Biosynthesis of other secondary metabolites
map00521,hsa00521,Streptomycin biosynthesis,Streptomycin biosynthesis,Metabolism,Biosynthesis of other secondary metabolites
map00524,hsa00524,"Neomycin, kanamycin and gentamicin biosynthesis","Neomycin, kanamycin and gentamicin biosynthesis",Metabolism,Biosynthesis of other secondary metabolites
map00525,hsa00525,Acarbose and validamycin biosynthesis,Acarbose and validamycin biosynthesis,Metabolism,Biosynthesis of other secondary metabolites
map00401,hsa00401,Novobiocin biosynthesis,Novobiocin biosynthesis,Metabolism,Biosynthesis of other secondary metabolites
map00404,hsa00404,Staurosporine biosynthesis,Staurosporine biosynthesis,Metabolism,Biosynthesis of other secondary metabolites
map00405,hsa00405,Phenazine biosynthesis,Phenazine biosynthesis,Metabolism,Biosynthesis of other secondary metabolites
map00333,hsa00333,Prodigiosin biosynthesis,Prodigiosin biosynthesis,Metabolism,Biosynthesis of other secondary metabolites
map00254,hsa00254,Aflatoxin biosynthesis,Aflatoxin biosynthesis,Metabolism,Biosynthesis of other secondary metabolites
map00975,hsa00975,Biosynthesis of various siderophores,Biosynthesis of various siderophores,Metabolism,Biosynthesis of other secondary metabolites
map00998,hsa00998,Biosynthesis of various antibiotics,Biosynthesis of various antibiotics,Metabolism,Biosynthesis of other secondary metabolites
map00999,hsa00999,Biosynthesis of various plant secondary metabolites,Biosynthesis of various plant secondary metabolites,Metabolism,Biosynthesis of other secondary metabolites
map00997,hsa00997,Biosynthesis of various other secondary metabolites,Biosynthesis of various other secondary metabolites,Metabolism,Biosynthesis of other secondary metabolites
map00362,hsa00362,Benzoate degradation,Benzoate degradation,Metabolism,Xenobiotics biodegradation and metabolism
map00627,hsa00627,Aminobenzoate degradation,Aminobenzoate degradation,Metabolism,Xenobiotics biodegradation and metabolism
map00364,hsa00364,Fluorobenzoate degradation,Fluorobenzoate degradation,Metabolism,Xenobiotics biodegradation and metabolism
map00625,hsa00625,Chloroalkane and chloroalkene degradation,Chloroalkane and chloroalkene degradation,Metabolism,Xenobiotics biodegradation and metabolism
map00361,hsa00361,Chlorocyclohexane and chlorobenzene degradation,Chlorocyclohexane and chlorobenzene degradation,Metabolism,Xenobiotics biodegradation and metabolism
map00623,hsa00623,Toluene degradation,Toluene degradation,Metabolism,Xenobiotics biodegradation and metabolism
map00622,hsa00622,Xylene degradation,Xylene degradation,Metabolism,Xenobiotics biodegradation and metabolism
map00633,hsa00633,Nitrotoluene degradation,Nitrotoluene degradation,Metabolism,Xenobiotics biodegradation and metabolism
map00642,hsa00642,Ethylbenzene degradation,Ethylbenzene degradation,Metabolism,Xenobiotics biodegradation and metabolism
map00643,hsa00643,Styrene degradation,Styrene degradation,Metabolism,Xenobiotics biodegradation and metabolism
map00791,hsa00791,Atrazine degradation,Atrazine degradation,Metabolism,Xenobiotics biodegradation and metabolism
map00930,hsa00930,Caprolactam degradation,Caprolactam degradation,Metabolism,Xenobiotics biodegradation and metabolism
map00363,hsa00363,Bisphenol degradation,Bisphenol degradation,Metabolism,Xenobiotics biodegradation and metabolism
map00621,hsa00621,Dioxin degradation,Dioxin degradation,Metabolism,Xenobiotics biodegradation and metabolism
map00626,hsa00626,Naphthalene degradation,Naphthalene degradation,Metabolism,Xenobiotics biodegradation and metabolism
map00624,hsa00624,Polycyclic aromatic hydrocarbon degradation,Polycyclic aromatic hydrocarbon degradation,Metabolism,Xenobiotics biodegradation and metabolism
map00365,hsa00365,Furfural degradation,Furfural degradation,Metabolism,Xenobiotics biodegradation and metabolism
map00984,hsa00984,Steroid degradation,Steroid degradation,Metabolism,Xenobiotics biodegradation and metabolism
map00980,hsa00980,Metabolism of xenobiotics by cytochrome P450,Metabolism of xenobiotics by cytochrome P450,Metabolism,Xenobiotics biodegradation and metabolism
map00982,hsa00982,Drug metabolism - cytochrome P450,Drug metabolism - cytochrome P450,Metabolism,Xenobiotics biodegradation and metabolism
map00983,hsa00983,Drug metabolism - other enzymes,Drug metabolism - other enzymes,Metabolism,Xenobiotics biodegradation and metabolism
map01010,hsa01010,Overview of biosynthetic pathways,Overview of biosynthetic pathways,Metabolism,Chemical structure transformation maps
map01060,hsa01060,Biosynthesis of plant secondary metabolites,Biosynthesis of plant secondary metabolites,Metabolism,Chemical structure transformation maps
map01061,hsa01061,Biosynthesis of phenylpropanoids,Biosynthesis of phenylpropanoids,Metabolism,Chemical structure transformation maps
map01062,hsa01062,Biosynthesis of terpenoids and steroids,Biosynthesis of terpenoids and steroids,Metabolism,Chemical structure transformation maps
map01063,hsa01063,Biosynthesis of alkaloids derived from shikimate pathway,Biosynthesis of alkaloids derived from shikimate pathway,Metabolism,Chemical structure transformation maps
map01064,hsa01064,"Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid","Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid",Metabolism,Chemical structure transformation maps
map01065,hsa01065,Biosynthesis of alkaloids derived from histidine and purine,Biosynthesis of alkaloids derived from histidine and purine,Metabolism,Chemical structure transformation maps
map01066,hsa01066,Biosynthesis of alkaloids derived from terpenoid and polyketide,Biosynthesis of alkaloids derived from terpenoid and polyketide,Metabolism,Chemical structure transformation maps
map01070,hsa01070,Biosynthesis of plant hormones,Biosynthesis of plant hormones,Metabolism,Chemical structure transformation maps
map03020,hsa03020,RNA polymerase,RNA polymerase,Genetic Information Processing,Transcription
map03022,hsa03022,Basal transcription factors,Basal transcription factors,Genetic Information Processing,Transcription
map03040,hsa03040,Spliceosome,Spliceosome,Genetic Information Processing,Transcription
map03010,hsa03010,Ribosome,Ribosome,Genetic Information Processing,Translation
map00970,hsa00970,Aminoacyl-tRNA biosynthesis,Aminoacyl-tRNA biosynthesis,Genetic Information Processing,Translation
map03013,hsa03013,Nucleocytoplasmic transport,Nucleocytoplasmic transport,Genetic Information Processing,Translation
map03015,hsa03015,mRNA surveillance pathway,mRNA surveillance pathway,Genetic Information Processing,Translation
map03008,hsa03008,Ribosome biogenesis in eukaryotes,Ribosome biogenesis in eukaryotes,Genetic Information Processing,Translation
map03060,hsa03060,Protein export,Protein export,Genetic Information Processing,"Folding, sorting and degradation"
map04141,hsa04141,Protein processing in endoplasmic reticulum,Protein processing in endoplasmic reticulum,Genetic Information Processing,"Folding, sorting and degradation"
map04130,hsa04130,SNARE interactions in vesicular transport,SNARE interactions in vesicular transport,Genetic Information Processing,"Folding, sorting and degradation"
map04120,hsa04120,Ubiquitin mediated proteolysis,Ubiquitin mediated proteolysis,Genetic Information Processing,"Folding, sorting and degradation"
map04122,hsa04122,Sulfur relay system,Sulfur relay system,Genetic Information Processing,"Folding, sorting and degradation"
map03050,hsa03050,Proteasome,Proteasome,Genetic Information Processing,"Folding, sorting and degradation"
map03018,hsa03018,RNA degradation,RNA degradation,Genetic Information Processing,"Folding, sorting and degradation"
map03030,hsa03030,DNA replication,DNA replication,Genetic Information Processing,Replication and repair
map03410,hsa03410,Base excision repair,Base excision repair,Genetic Information Processing,Replication and repair
map03420,hsa03420,Nucleotide excision repair,Nucleotide excision repair,Genetic Information Processing,Replication and repair
map03430,hsa03430,Mismatch repair,Mismatch repair,Genetic Information Processing,Replication and repair
map03440,hsa03440,Homologous recombination,Homologous recombination,Genetic Information Processing,Replication and repair
map03450,hsa03450,Non-homologous end-joining,Non-homologous end-joining,Genetic Information Processing,Replication and repair
map03460,hsa03460,Fanconi anemia pathway,Fanconi anemia pathway,Genetic Information Processing,Replication and repair
map03082,hsa03082,ATP-dependent chromatin remodeling,ATP-dependent chromatin remodeling,Genetic Information Processing,Chromosome
map03083,hsa03083,Polycomb repressive complex,Polycomb repressive complex,Genetic Information Processing,Chromosome
map03230,hsa03230,Viral genome structure,Viral genome structure,Genetic Information Processing,Information processing in viruses
map03240,hsa03240,Viral replication,Viral replication,Genetic Information Processing,Information processing in viruses
map03250,hsa03250,Viral life cycle - HIV-1,Viral life cycle - HIV-1,Genetic Information Processing,Information processing in viruses
map03260,hsa03260,Virion - Human immunodeficiency virus,Virion - Human immunodeficiency virus,Genetic Information Processing,Information processing in viruses
map03271,hsa03271,Virion - Rotavirus,Virion - Rotavirus,Genetic Information Processing,Information processing in viruses
map03262,hsa03262,Virion - Coronavirus,Virion - Coronavirus,Genetic Information Processing,Information processing in viruses
map03261,hsa03261,Virion - Influenza virus,Virion - Influenza virus,Genetic Information Processing,Information processing in viruses
map03263,hsa03263,Virion - Enterovirus,Virion - Enterovirus,Genetic Information Processing,Information processing in viruses
map03264,hsa03264,Virion - Flavivirus and Alphavirus,Virion - Flavivirus and Alphavirus,Genetic Information Processing,Information processing in viruses
map03265,hsa03265,"Virion - Ebolavirus, Lyssavirus and Morbillivirus","Virion - Ebolavirus, Lyssavirus and Morbillivirus",Genetic Information Processing,Information processing in viruses
map03273,hsa03273,Virion - Lassa virus and SFTS virus,Virion - Lassa virus and SFTS virus,Genetic Information Processing,Information processing in viruses
map03272,hsa03272,Virion - Hepatitis viruses,Virion - Hepatitis viruses,Genetic Information Processing,Information processing in viruses
map03266,hsa03266,Virion - Herpesvirus,Virion - Herpesvirus,Genetic Information Processing,Information processing in viruses
map03268,hsa03268,Virion - Orthopoxvirus,Virion - Orthopoxvirus,Genetic Information Processing,Information processing in viruses
map03267,hsa03267,Virion - Adenovirus,Virion - Adenovirus,Genetic Information Processing,Information processing in viruses
map03259,hsa03259,Virion - Bacteriophages T4 and T7,Virion - Bacteriophages T4 and T7,Genetic Information Processing,Information processing in viruses
map03258,hsa03258,Virion - Bacteriophage lambda,Virion - Bacteriophage lambda,Genetic Information Processing,Information processing in viruses
map02010,hsa02010,ABC transporters,ABC transporters,Environmental Information Processing,Membrane transport
map02060,hsa02060,Phosphotransferase system (PTS),Phosphotransferase system,Environmental Information Processing,Membrane transport
map03070,hsa03070,Bacterial secretion system,Bacterial secretion system,Environmental Information Processing,Membrane transport
map02020,hsa02020,Two-component system,Two-component system,Environmental Information Processing,Signal transduction
map04010,hsa04010,MAPK signaling pathway,MAPK signaling pathway,Environmental Information Processing,Signal transduction
map04013,hsa04013,MAPK signaling pathway - fly,MAPK signaling pathway - fly,Environmental Information Processing,Signal transduction
map04016,hsa04016,MAPK signaling pathway - plant,MAPK signaling pathway - plant,Environmental Information Processing,Signal transduction
map04011,hsa04011,MAPK signaling pathway - yeast,MAPK signaling pathway - yeast,Environmental Information Processing,Signal transduction
map04012,hsa04012,ErbB signaling pathway,ErbB signaling pathway,Environmental Information Processing,Signal transduction
map04014,hsa04014,Ras signaling pathway,Ras signaling pathway,Environmental Information Processing,Signal transduction
map04015,hsa04015,Rap1 signaling pathway,Rap1 signaling pathway,Environmental Information Processing,Signal transduction
map04310,hsa04310,Wnt signaling pathway,Wnt signaling pathway,Environmental Information Processing,Signal transduction
map04330,hsa04330,Notch signaling pathway,Notch signaling pathway,Environmental Information Processing,Signal transduction
map04340,hsa04340,Hedgehog signaling pathway,Hedgehog signaling pathway,Environmental Information Processing,Signal transduction
map04341,hsa04341,Hedgehog signaling pathway - fly,Hedgehog signaling pathway - fly,Environmental Information Processing,Signal transduction
map04350,hsa04350,TGF-beta signaling pathway,TGF-beta signaling pathway,Environmental Information Processing,Signal transduction
map04390,hsa04390,Hippo signaling pathway,Hippo signaling pathway,Environmental Information Processing,Signal transduction
map04391,hsa04391,Hippo signaling pathway - fly,Hippo signaling pathway - fly,Environmental Information Processing,Signal transduction
map04392,hsa04392,Hippo signaling pathway - multiple species,Hippo signaling pathway - multiple species,Environmental Information Processing,Signal transduction
map04370,hsa04370,VEGF signaling pathway,VEGF signaling pathway,Environmental Information Processing,Signal transduction
map04371,hsa04371,Apelin signaling pathway,Apelin signaling pathway,Environmental Information Processing,Signal transduction
map04630,hsa04630,JAK-STAT signaling pathway,JAK-STAT signaling pathway,Environmental Information Processing,Signal transduction
map04064,hsa04064,NF-kappa B signaling pathway,NF-kappa B signaling pathway,Environmental Information Processing,Signal transduction
map04668,hsa04668,TNF signaling pathway,TNF signaling pathway,Environmental Information Processing,Signal transduction
map04066,hsa04066,HIF-1 signaling pathway,HIF-1 signaling pathway,Environmental Information Processing,Signal transduction
